site_id,in_roland,in_cherie,loss_years,num_swabs_at_year_tplus1to3,area,jurisdiction,failed_invasion_ranking,note,1 - Unlikely that a failed invasion occurred at this site
11858,TRUE,TRUE,2012 -> 2013,20,1674,kings_canyon,3,LeConte Basin,
11870,TRUE,TRUE,2007 -> 2009,5,1956,kings_canyon,2,"only 1 Bd+ swab out of 4 collected in 2007, load very low",
11985,TRUE,TRUE,2005 -> 2006,5,1366,kings_canyon,2,"only 1 Bd+ swab out of 10 collected in 2005, load very low",
12473,TRUE,TRUE,2006 -> 2007,5,802,kings_canyon,3,,
12503,TRUE,TRUE,2007 -> 2008,10,548,kings_canyon,3,only 1 Bd+ swab in 2007 but additional such swabs in 2006,
12590,TRUE,FALSE,2013 -> 2014,10,43,kings_canyon,3,"LeConte Basin, only 1 Bd+ swab in 2013 but additional such swabs in 2012",
12618,TRUE,TRUE,2012 -> 2013,10,43,kings_canyon,3,LeConte Basin,
12621,TRUE,TRUE,2012 -> 2013,10,58,kings_canyon,3,LeConte Basin,
13025,TRUE,TRUE,2012 -> 2013,10,13117,kings_canyon,3,downstream of 11008 and 11009,
20169,TRUE,FALSE,"2014 -> 2015, 2016 -> 2017","11, 9",102109,sequoia,3,"all 7 swabs collected in 2020 were Bd-, providing another switch from Bd+ to Bd-",
20170,TRUE,FALSE,2016 -> 2017,10,5008,sequoia,3,adjacent to 20169,
50133,TRUE,TRUE,2006 -> 2007,7,15017,sierra_nf,3,"site was recolonized by frogs in 2005 from upstream population following fish removal, but still seems okay to consider as a failed invasion",
50162,TRUE,FALSE,2016 -> 2018,12,43017,sierra_nf,2,"only 1 Bd+ swab out of 12 collected in 2016, load very low",
50217,TRUE,FALSE,2016 -> 2017,5,65575,sierra_nf,3,50217 & 50218 are within a few meters of each other,
50218,TRUE,FALSE,2016 -> 2017,6,35342,sierra_nf,3,,
50731,TRUE,FALSE,2016 -> 2017,15,9404,sierra_nf,3,Near 50217 & 50218,
50837,TRUE,FALSE,2018 -> 2019,33,36270,inyo_nf,3,,
50897,TRUE,FALSE,2016 -> 2017,24,11682,inyo_nf,3,,
51053,FALSE,TRUE,2008 -> 2009,9,12109,sierra_nf,1,no evidence of failed invasion in current dataset,
51058,TRUE,FALSE,2008 -> 2009,15,14161,sierra_nf,3,frogs reintroduced around 2005 following fish eradication,
52127,TRUE,TRUE,"2012 -> 2014, 2018 -> 2019","22, 15",18458,sierra_nf,3,frogs reintroduced around 2003 to fishless lake,
70327,TRUE,FALSE,2018 -> 2019,22,15385,yosemite,3,,
